kind,assetId,ownerId,speaker,voiceProfileId,source,target,channels,sampleRate,bitrateKbps,requiredForRelease
dialogue,DLG_ZH_HSK1_SC001_001,ZH_HSK1_SC001,张伟,VOICE_ZH_ZHANGWEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_001.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_001.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_002,ZH_HSK1_SC001,刘梅,VOICE_ZH_LIUMEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_002.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_002.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_003,ZH_HSK1_SC001,张雨桐,VOICE_ZH_ZHANGYUTONG_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_003.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_003.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_004,ZH_HSK1_SC001,张乐乐,VOICE_ZH_ZHANGLELE_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_004.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_004.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_005,ZH_HSK1_SC001,王师傅,VOICE_ZH_AUTO_7618DACBB7,audio_sources/dialogues/DLG_ZH_HSK1_SC001_005.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_005.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_006,ZH_HSK1_SC001,张伟,VOICE_ZH_ZHANGWEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_006.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_006.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_007,ZH_HSK1_SC001,刘梅,VOICE_ZH_LIUMEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_007.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_007.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_008,ZH_HSK1_SC001,张雨桐,VOICE_ZH_ZHANGYUTONG_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_008.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_008.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_009,ZH_HSK1_SC001,张乐乐,VOICE_ZH_ZHANGLELE_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_009.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_009.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_010,ZH_HSK1_SC001,王师傅,VOICE_ZH_AUTO_7618DACBB7,audio_sources/dialogues/DLG_ZH_HSK1_SC001_010.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_010.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_011,ZH_HSK1_SC001,张伟,VOICE_ZH_ZHANGWEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_011.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_011.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_012,ZH_HSK1_SC001,刘梅,VOICE_ZH_LIUMEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_012.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_012.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_013,ZH_HSK1_SC001,张雨桐,VOICE_ZH_ZHANGYUTONG_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_013.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_013.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_014,ZH_HSK1_SC001,张乐乐,VOICE_ZH_ZHANGLELE_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_014.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_014.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_015,ZH_HSK1_SC001,王师傅,VOICE_ZH_AUTO_7618DACBB7,audio_sources/dialogues/DLG_ZH_HSK1_SC001_015.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_015.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_016,ZH_HSK1_SC001,张伟,VOICE_ZH_ZHANGWEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_016.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_016.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_017,ZH_HSK1_SC001,刘梅,VOICE_ZH_LIUMEI_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_017.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_017.opus,1,24000,48,False
dialogue,DLG_ZH_HSK1_SC001_018,ZH_HSK1_SC001,张雨桐,VOICE_ZH_ZHANGYUTONG_001,audio_sources/dialogues/DLG_ZH_HSK1_SC001_018.wav,chinese_course/media/audio/dialogues/DLG_ZH_HSK1_SC001_018.opus,1,24000,48,False
