priority,kind,ownerId,variant,status,source,target,promptFile,variantDirective
1,background,LOC_ZH_COMMUNITY_CENTER_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_COMMUNITY_CENTER_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_COMMUNITY_CENTER_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_FAMILY_CAFE_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_FAMILY_CAFE_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_FAMILY_CAFE_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_FAMILY_CAFE_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_GRANDPARENTS_FARM_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_FARM_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_FARM_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_GRANDPARENTS_HOME_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_GRANDPARENTS_HOME_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_GRANDPARENTS_HOME_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_HIGH_SCHOOL_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HIGH_SCHOOL_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_HIGH_SCHOOL_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_HIGH_SCHOOL_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_HOSPITAL_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_HOSPITAL_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_HOSPITAL_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_HOSPITAL_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_LICHEN_HOME_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_LICHEN_HOME_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_LICHEN_HOME_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_LICHEN_HOME_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_NEW_HOME_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_HOME_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_NEW_HOME_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_HOME_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_NEW_STATION_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_NEW_STATION_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_NEW_STATION_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_NEW_STATION_001.txt,canonical daylight master; lock architecture and camera
1,background,LOC_ZH_PARK_001,DAY,waiting_for_source,visual_sources/backgrounds/LOC_ZH_PARK_001_DAY.png,chinese_course/media/backgrounds/LOC_ZH_PARK_001_DAY.webp,chinese_course/media/prompts/locations/LOC_ZH_PARK_001.txt,canonical daylight master; lock architecture and camera
